Timestamp,Input_Voltage(V),Input_Current(A),Input_Power(W),Output_Voltage(V),Output_Current(A),Output_Power(W)
2025-12-11 19:46:07,5.12,0.013,0.16,8.02,0.002,0.0
2025-12-11 19:46:08,11.98,0.317,4.3,8.089,0.4795,3.878
2025-12-11 19:46:09,11.989,0.365,4.38,8.09,0.4768,3.857
2025-12-11 19:46:10,11.989,0.365,4.38,8.091,0.479,3.876
2025-12-11 19:46:11,11.989,0.365,4.38,8.092,0.4787,3.874
2025-12-11 19:46:12,11.989,0.365,4.38,8.092,0.4767,3.857
2025-12-11 19:46:14,11.989,0.365,4.38,8.093,0.4788,3.874
2025-12-11 19:46:15,11.989,0.365,4.38,8.093,0.4763,3.855
2025-12-11 19:46:16,11.989,0.365,4.38,8.094,0.4785,3.873
2025-12-11 19:46:17,11.989,0.365,4.38,8.094,0.4781,3.87
2025-12-11 19:46:19,11.989,0.365,4.38,8.094,0.4761,3.854
